Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[Age at launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Sex]	Term Source REF	Term Accession Number	Characteristics[Diet]	Term Source REF	Term Accession Number	Comment[Feeding Schedule]	Factor Value[Genotype]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Tissue]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[light cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[habitat]	Term Source REF	Term Accession Number	Parameter Value[Housing Temperature]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[ionizing radiation]	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[vehicle]	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
MHU3_FL06	GSM4613919	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	The block food (approximately 35g) is contained in the cartridge, which supports 1-week habitation.	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Temporal Bone	MESH	http://purl.bioontology.org/ontology/MESH/D013701	Temporal Bone	MESH	http://purl.bioontology.org/ontology/MESH/D013701	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_GC06	GSM4613920	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	The block food (approximately 35g) is contained in the cartridge, which supports 1-week habitation.	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Ground control			Temporal Bone	MESH	http://purl.bioontology.org/ontology/MESH/D013701	Temporal Bone	MESH	http://purl.bioontology.org/ontology/MESH/D013701	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable				Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL03	GSM4613921	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	The block food (approximately 35g) is contained in the cartridge, which supports 1-week habitation.	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Mandibular bone	GLDS	https://genelab-data.ndc.nasa.gov/	Mandible	MESH	http://purl.bioontology.org/ontology/MESH/D008334	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL05	GSM4613922	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	The block food (approximately 35g) is contained in the cartridge, which supports 1-week habitation.	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Mandibular bone	GLDS	https://genelab-data.ndc.nasa.gov/	Mandible	MESH	http://purl.bioontology.org/ontology/MESH/D008334	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL06	GSM4613923	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	The block food (approximately 35g) is contained in the cartridge, which supports 1-week habitation.	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Mandibular bone	GLDS	https://genelab-data.ndc.nasa.gov/	Mandible	MESH	http://purl.bioontology.org/ontology/MESH/D008334	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL01	GSM4613924	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	The block food (approximately 35g) is contained in the cartridge, which supports 1-week habitation.	Nrf2KO			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Mandibular bone	GLDS	https://genelab-data.ndc.nasa.gov/	Mandible	MESH	http://purl.bioontology.org/ontology/MESH/D008334	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL02	GSM4613925	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	The block food (approximately 35g) is contained in the cartridge, which supports 1-week habitation.	Nrf2KO			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Mandibular bone	GLDS	https://genelab-data.ndc.nasa.gov/	Mandible	MESH	http://purl.bioontology.org/ontology/MESH/D008334	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL04	GSM4613926	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	The block food (approximately 35g) is contained in the cartridge, which supports 1-week habitation.	Nrf2KO			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Mandibular bone	GLDS	https://genelab-data.ndc.nasa.gov/	Mandible	MESH	http://purl.bioontology.org/ontology/MESH/D008334	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_GC03	GSM4613927	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	The block food (approximately 35g) is contained in the cartridge, which supports 1-week habitation.	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Ground control			Mandibular bone	GLDS	https://genelab-data.ndc.nasa.gov/	Mandible	MESH	http://purl.bioontology.org/ontology/MESH/D008334	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable				Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_GC08	GSM4613928	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	The block food (approximately 35g) is contained in the cartridge, which supports 1-week habitation.	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Ground control			Mandibular bone	GLDS	https://genelab-data.ndc.nasa.gov/	Mandible	MESH	http://purl.bioontology.org/ontology/MESH/D008334	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable				Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_GC07	GSM4613929	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	The block food (approximately 35g) is contained in the cartridge, which supports 1-week habitation.	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Ground control			Mandibular bone	GLDS	https://genelab-data.ndc.nasa.gov/	Mandible	MESH	http://purl.bioontology.org/ontology/MESH/D008334	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable				Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_GC01	GSM4613930	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	The block food (approximately 35g) is contained in the cartridge, which supports 1-week habitation.	Nrf2KO			Ground control			Mandibular bone	GLDS	https://genelab-data.ndc.nasa.gov/	Mandible	MESH	http://purl.bioontology.org/ontology/MESH/D008334	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable				Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_GC02	GSM4613931	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	The block food (approximately 35g) is contained in the cartridge, which supports 1-week habitation.	Nrf2KO			Ground control			Mandibular bone	GLDS	https://genelab-data.ndc.nasa.gov/	Mandible	MESH	http://purl.bioontology.org/ontology/MESH/D008334	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable				Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_GC04	GSM4613932	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	The block food (approximately 35g) is contained in the cartridge, which supports 1-week habitation.	Nrf2KO			Ground control			Mandibular bone	GLDS	https://genelab-data.ndc.nasa.gov/	Mandible	MESH	http://purl.bioontology.org/ontology/MESH/D008334	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable				Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL01	GSM4613933	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	The block food (approximately 35g) is contained in the cartridge, which supports 1-week habitation.	Nrf2KO			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Spleen	MESH	http://purl.bioontology.org/ontology/MESH/D013154	Spleen	MESH	http://purl.bioontology.org/ontology/MESH/D013154	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL02	GSM4613934	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	The block food (approximately 35g) is contained in the cartridge, which supports 1-week habitation.	Nrf2KO			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Spleen	MESH	http://purl.bioontology.org/ontology/MESH/D013154	Spleen	MESH	http://purl.bioontology.org/ontology/MESH/D013154	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL03	GSM4613935	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	The block food (approximately 35g) is contained in the cartridge, which supports 1-week habitation.	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Spleen	MESH	http://purl.bioontology.org/ontology/MESH/D013154	Spleen	MESH	http://purl.bioontology.org/ontology/MESH/D013154	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
